axis,family,kind,bench,task,n,status,separation,public_leader_state,leader,accuracy,fleet_mean,dataset,dataset_url,bank_state,bank_rows
governance,gspc,model-comparison,GovBench,EU AI Act risk-tier classification,237,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.49,csoai/gspc-gov,https://huggingface.co/datasets/csoai/gspc-gov,ITEMS_JSONL,237
safety,gspc,model-comparison,DefBench,calibrated refusal on paired requests,36,MEASURED,TIE,,gemma3:12b (base model),0.944,0.732,csoai/gspc-agi,https://huggingface.co/datasets/csoai/gspc-agi,ITEMS_JSONL,36
provenance,gspc,model-comparison,ProvBench,Article 50 marking survival by validity,32,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.549,csoai/gspc-prv,https://huggingface.co/datasets/csoai/gspc-prv,ITEMS_JSONL,32
continuity,gspc,model-comparison,PQCBench,post-quantum status of a cryptographic assumption,33,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.45,csoai/gspc-asi,https://huggingface.co/datasets/csoai/gspc-asi,ITEMS_JSONL,33
conformance,gspc,model-comparison,MCPBench,MCP tool conformance,35,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.537,csoai/gspc-mcp,https://huggingface.co/datasets/csoai/gspc-mcp,ITEMS_JSONL,35
openness,gspc,model-comparison,OSSBench,licence reasoning versus intended use,32,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.696,csoai/gspc-oss,https://huggingface.co/datasets/csoai/gspc-oss,ITEMS_JSONL,32
machinery-conformity,gspc,model-comparison,MachBench,Machinery Reg self-evolving safety-function classification (PART_A / OUT_OF_SCOPE / NOT_SAFETY_FUNCTION),33,MEASURED,UNTESTED,NO_SIGNED_CARD,,,0.349,csoai/gspc-mach,https://huggingface.co/datasets/csoai/gspc-mach,ITEMS_JSONL,33
care,gspc,model-comparison,CareBench,care-cost (protect × help) under paired conduct scenarios,199,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.293,csoai/gspc-care,https://huggingface.co/datasets/csoai/gspc-care,ITEMS_JSONL,200
cross-reality,gspc,model-comparison,XRAIV,autonomous agent action authority (PROCEED / CONFIRM / REFUSE),32,MEASURED,UNTESTED,NO_SIGNED_CARD,,,0.441,csoai/gspc-xr,https://huggingface.co/datasets/csoai/gspc-xr,ITEMS_JSONL,32
detector-interop,gspc,model-comparison,DetBench,cross-detector watermark interoperability matrix,33,MEASURED,UNTESTED,NO_SIGNED_CARD,,,0.563,csoai/gspc-det,https://huggingface.co/datasets/csoai/gspc-det,UNCHECKABLE (<urlopen error [Errno 104] Connection reset by peer>),
art5-safeguard,gspc,model-comparison,Art5Bench,EU AI Act Article 5 prohibited-practice trip,36,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.83,csoai/gspc-art5,https://huggingface.co/datasets/csoai/gspc-art5,ITEMS_JSONL,36
swarm,gspc,model-comparison,SwarmBench v2b,multi-agent coordination safety,37,MEASURED,SEPARATED,,qwen2.5:7b (base model),0.384,,csoai/gspc-swarm,https://huggingface.co/datasets/csoai/gspc-swarm,ITEMS_JSONL,41
affect,gspc,model-comparison,AffectBench,emotional & embodied safety (manipulation / disclosure / vulnerability),41,MEASURED,UNTESTED,EXCLUDED_OWN_MODEL,,,0.605,csoai/gspc-affect,https://huggingface.co/datasets/csoai/gspc-affect,ITEMS_JSONL,42
jail,gspc,model-comparison,GoldBank-Detector,escape-attempt detection on 71-cell gold bank (38 ESCAPE / 33 BENIGN) — layer 2 of 2,71,MEASURED,TIE,,qwen2.5:0.5b-instruct (base model),0.5915,0.5455,csoai/gspc-jail-goldbank,https://huggingface.co/datasets/csoai/gspc-jail-goldbank,NO_ITEMS_JSONL,
provenance-controls,financial,deterministic-facts,ChainFacts,on-chain issuer control facts (allowlisting / freeze capability / identity domain),6,MEASURED,,,,,,csoai/gspc-provenance-controls,https://huggingface.co/datasets/csoai/gspc-provenance-controls,NO_ITEMS_JSONL,
reserve-attestation,financial,deterministic-facts,ReserveFacts,is third-party reserve-attestation language on a retrieved issuer page? (PASS/FAIL/UNCHECKABLE),16,MEASURED,,,,,,csoai/gspc-reserve-attestation,https://huggingface.co/datasets/csoai/gspc-reserve-attestation,NO_ITEMS_JSONL,
regulatory-framework,financial,deterministic-facts,RegimeFacts,is the governing regime declared and confirmable (NYDFS / MiCA / BACEN / Reg D ...)? (PASS/FAIL/UNCHECKABLE),16,MEASURED,,,,,,csoai/gspc-regulatory-framework,https://huggingface.co/datasets/csoai/gspc-regulatory-framework,NO_ITEMS_JSONL,
distribution-integrity,financial,deterministic-facts,DistributionFacts,reader classification + chain supply + holder count (PASS/FAIL/UNCHECKABLE),16,MEASURED,,,,,,csoai/gspc-distribution-integrity,https://huggingface.co/datasets/csoai/gspc-distribution-integrity,NO_ITEMS_JSONL,
custody-disclosure,financial,deterministic-facts,CustodyFacts,are a custodian and an auditor named and confirmable? (PASS/FAIL/UNCHECKABLE each),16,MEASURED,,,,,,csoai/gspc-custody-disclosure,https://huggingface.co/datasets/csoai/gspc-custody-disclosure,NO_ITEMS_JSONL,
ai-adoption-components,financial,deterministic-facts,Eurostat,cited EU AI-adoption series (not an index),2,MEASURED,,,,,,csoai/gspc-ai-economy-index,https://huggingface.co/datasets/csoai/gspc-ai-economy-index,NO_ITEMS_JSONL,
labour-components,financial,deterministic-facts,Eurostat,cited EU labour series (not an index),2,MEASURED,,,,,,csoai/gspc-human-labour-index,https://huggingface.co/datasets/csoai/gspc-human-labour-index,NO_ITEMS_JSONL,
humanoid-labour-index,financial,deterministic-facts,Disclosure,named vendor publishes a dated deployment count on a stable URL? Y/N,8,MEASURED,,,,,,csoai/gspc-humanoid-labour-index,https://huggingface.co/datasets/csoai/gspc-humanoid-labour-index,NO_ITEMS_JSONL,
